host_since,host_is_superhost,host_total_listings_count,host_verifications,host_identity_verified,latitude,longitude,accommodates,bathrooms_text,amenities,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,Bijlmer-Centrum,Bijlmer-Oost,Bos en Lommer,Buitenveldert - Zuidas,Centrum-Oost,Centrum-West,De Aker - Nieuw Sloten,De Baarsjes - Oud-West,De Pijp - Rivierenbuurt,Gaasperdam - Driemond,Geuzenveld - Slotermeer,IJburg - Zeeburgereiland,Noord-Oost,Noord-West,Oostelijk Havengebied - Indische Buurt,Osdorp,Oud-Noord,Oud-Oost,Slotervaart,Watergraafsmeer,Westerpark,Zuid,Entire home/apt,Hotel room,Private room,Shared room
2013,1,1,9,1,52.36166,4.9311,4,0.5,29,400.0,2,48,4.81,1,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2019,0,9,5,1,52.37045,4.87908,3,1.0,20,209.0,1,0,0.0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,0,1,4,1,52.38501,4.86642,3,1.5,47,132.0,4,23,4.83,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2019,0,0,4,1,52.3821,4.85684,3,1.0,28,86.0,2,1,4.0,0,0.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,1,3,3,1,52.35413,4.99644,2,1.0,30,98.0,3,21,4.95,1,1.24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,0,1,4,1,52.37856,4.86225,2,1.5,34,123.0,2,14,5.0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,0,2,5,1,52.37017,4.86125,2,1.0,29,105.0,2,10,5.0,0,0.42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,0,1,4,1,52.38095,4.86907,2,1.0,27,130.0,4,44,4.86,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2016,0,1,5,1,52.38103,4.8866,4,1.0,23,200.0,4,8,5.0,0,0.57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,0,1,1,0,52.32493,4.93962,4,1.0,15,96.0,1,0,0.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,0,1,3,1,52.38371,4.89072,2,1.0,21,103.0,3,21,5.0,1,0.72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,1,3,4,0,52.36728,4.88603,2,1.0,12,165.0,7,116,4.83,0,1.72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,1,0,2,1,52.361374,4.883171,3,1.0,33,299.0,1,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2014,0,1,5,1,52.36884,4.86739,2,1.0,30,187.0,2,13,4.77,0,0.38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,0,1,4,1,52.37745,4.86003,4,1.0,15,200.0,3,14,4.93,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,0,2,7,1,52.37928,4.89041,2,1.0,21,135.0,3,256,4.95,1,4.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,0,1,7,1,52.35813,4.90221,2,1.0,25,46.0,1,26,4.69,1,4.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2018,0,1,5,1,52.38502,4.87575,2,1.5,50,53.0,1,5,4.6,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2015,0,1,6,1,52.36697,4.899149,4,1.0,64,318.0,2,46,4.93,1,0.61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,0,1,2,0,52.34874,5.01193,6,2.0,1,220.0,5,1,0.0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,0,1,8,1,52.37935,4.85477,2,1.0,19,155.0,2,9,5.0,0,0.16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,0,1,9,1,52.36814,4.86832,4,1.5,42,210.0,3,48,4.96,0,0.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018,0,1,5,1,52.42317,4.89285,6,1.5,29,245.0,2,11,5.0,1,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2018,1,2,3,1,52.35701,4.89798,2,1.0,27,91.0,2,147,4.88,0,3.38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,0,1,5,1,52.35094,4.88552,5,2.5,32,100.0,7,14,5.0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2016,1,1,7,1,52.38307,4.88036,3,1.0,28,111.0,3,128,4.97,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2013,0,1,8,1,52.35048,4.84918,2,1.0,25,100.0,2,10,5.0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2017,0,0,2,0,52.35266,4.92079,2,1.0,12,150.0,4,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2014,0,0,5,1,52.349962413445134,4.889996103394625,4,1.0,49,175.0,2,6,5.0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,0,6,2,0,52.37694,4.89747,2,1.0,7,91.0,1,2,4.0,1,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020,0,8,7,1,52.36839,4.88976,3,1.0,3,164.0,1,0,0.0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,0,1,6,1,52.36223,4.86615,2,1.0,22,59.0,5,3,4.33,0,0.13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,0,1,7,1,52.37946,4.89422,4,1.0,17,550.0,1,6,4.83,0,4.09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,0,1,5,1,52.35294,4.91728,2,1.0,13,110.0,2,28,4.78,1,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2014,0,1,4,1,52.36779,4.87177,4,1.5,32,200.0,2,82,4.84,0,1.11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,0,0,3,0,52.35574,4.92294,3,1.5,24,200.0,2,17,4.75,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2019,0,0,2,1,52.3881,4.91438,2,1.0,7,163.0,1,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2014,0,1,6,1,52.35277,4.90114,2,1.5,22,200.0,3,32,4.88,0,0.48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,0,0,4,1,52.33688,4.93257,3,1.0,20,71.0,2,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2014,0,1,4,0,52.36101,4.82224,4,2.0,37,125.0,2,1,5.0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2015,0,1,3,0,52.39017,4.93538,4,1.0,16,75.0,5,4,5.0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2021,0,8,2,1,52.37676,4.89456,2,1.0,14,87.0,1,31,4.48,1,4.35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,0,0,4,1,52.38195,4.88886,2,1.0,21,155.0,2,5,5.0,0,3.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,0,1,8,1,52.36495,4.87367,4,1.5,51,175.0,2,84,4.57,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2019,0,7,8,1,52.37344,4.89869,6,1.5,29,409.0,3,13,4.69,0,3.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,0,1,8,1,52.35449,4.8919,4,1.5,47,650.0,3,19,4.89,0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,0,1,4,0,52.36652,4.88573,2,1.0,27,178.0,2,29,4.9,0,0.47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,0,1,2,0,52.34196,4.85002,2,1.0,27,98.0,2,7,5.0,1,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2014,1,2,8,1,52.36655,4.92385,2,1.5,46,100.0,3,37,4.92,1,0.89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2018,0,6,5,1,52.36718,4.92292,6,1.0,30,319.0,1,42,4.88,1,8.51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,1,2,6,1,52.37579,4.83748,2,1.5,24,98.0,2,14,4.86,1,0.49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
