latitude,longitude,host_since,amenities,reviews_per_month,number_of_reviews,host_verifications,host_total_listings_count,accommodates,review_scores_rating,minimum_nights,bathrooms_text,host_is_superhost,price
52.39508,4.99186,2012,16,0.91,81,8,13,3,4.62,2,1.5,0,87.0
52.36371,4.90745,2015,40,0.4,9,3,0,4,5.0,2,1.0,0,250.0
52.35482,4.85329,2018,20,1.25,47,2,20,2,4.79,1,1.0,1,151.0
52.36446,4.85972,2016,24,0.31,10,3,1,2,5.0,2,1.5,0,139.0
52.34176,4.84782,2013,25,1.78,166,9,1,2,4.67,2,1.5,1,95.0
52.36893,4.89729,2012,23,1.97,101,5,2,2,4.63,3,1.0,1,140.0
52.35076,4.88956,2016,43,1.38,77,8,1,2,4.97,2,1.0,1,112.0
52.35593,4.89857,2017,24,0.42,19,7,1,2,4.56,3,1.5,0,119.0
52.35609,4.90872,2013,22,0.73,3,8,2,4,5.0,2,1.0,0,199.0
52.38586,4.87644,2019,8,1.82,31,6,8,2,4.81,1,1.0,1,80.0
52.36832,4.93039,2015,62,0.45,24,5,1,4,4.96,5,2.5,0,175.0
52.37502,4.89659,2019,29,0.0,0,2,0,4,0.0,2,1.0,0,76.0
52.36508,4.92442,2012,23,0.26,18,6,1,2,4.94,7,1.0,0,156.0
52.38236,4.86899,2015,25,0.26,8,6,2,4,5.0,3,1.5,0,201.0
52.33288,4.87265,2017,31,2.16,88,8,3,3,4.85,1,1.0,0,70.0
52.36073,4.98005,2013,26,0.27,25,5,1,6,4.91,3,2.0,0,300.0
52.38162,4.88238,2016,20,0.64,25,2,1,2,4.76,8,1.0,0,100.0
52.40173,4.90238,2017,54,0.86,39,6,1,2,4.92,2,1.0,1,90.0
52.35481,4.88744,2016,16,0.33,20,8,1,4,4.85,2,1.0,0,180.0
52.34966,4.84949,2016,53,0.07,3,3,1,4,5.0,2,1.0,0,150.0
52.35536,4.89192,2014,38,0.81,45,9,1,2,4.7,3,1.0,0,190.0
52.39856,4.90556,2015,37,1.92,117,11,35,2,4.45,3,1.0,1,115.0
52.36897,4.85561,2013,39,0.92,82,6,1,2,4.89,4,1.5,1,120.0
52.342,4.80547,2014,51,1.0,1,6,1,3,5.0,1,1.5,0,70.0
52.39106,4.93726,2018,21,0.05,2,2,2,4,3.5,7,1.0,0,259.0
52.35449,4.8919,2016,47,0.3,19,8,1,4,4.89,3,1.5,0,650.0
52.34546,4.86738,2015,22,1.04,27,5,1,2,4.74,2,1.5,0,87.0
52.35379,4.9956,2014,17,4.21,321,8,1,2,4.84,180,1.5,1,45.0
52.35473,5.00492,2014,16,0.55,33,7,13,2,4.55,1,3.5,1,74.0
52.34821,4.90406,2014,25,2.98,211,6,1,2,4.78,2,1.5,1,104.0
52.35101,4.89613,2013,31,0.0,0,3,0,2,0.0,5,1.0,0,105.0
52.38117,4.88052,2016,23,0.05,1,6,0,2,5.0,3,1.5,0,100.0
52.38252,4.85443,2017,23,0.96,37,8,2,1,4.83,2,1.0,0,47.0
52.35678,4.9056,2014,23,0.46,39,6,1,4,4.9,3,3.0,0,516.0
52.37197,4.87308,2014,21,0.43,8,4,1,2,5.0,10,1.5,0,99.0
52.38067,4.85032,2016,18,0.17,6,5,1,4,4.83,2,1.0,0,295.0
52.38107,4.88629,2016,21,1.83,124,8,2,2,4.55,3,0.5,0,100.0
52.35129,4.85118,2014,37,0.43,24,9,1,2,4.85,3,1.5,0,140.0
52.36112,4.89632,2012,43,1.11,123,6,0,4,4.89,3,1.0,1,235.0
52.38001,4.87322,2015,28,0.34,6,8,0,3,4.83,3,1.0,0,112.0
52.36557,4.88776,2015,40,4.42,234,9,4,2,4.68,2,1.0,0,107.0
52.3472,4.85836,2014,41,0.48,19,7,1,2,4.94,2,1.0,0,161.0
52.32539,4.94657,2017,24,3.53,179,7,1,2,4.12,1,1.0,0,83.0
52.37172,4.87508,2015,23,0.25,6,9,1,4,4.83,2,1.0,1,320.0
52.37691,4.877,2011,8,0.0,0,5,1,3,0.0,2,1.5,0,300.0
52.37914,4.88491,2013,26,0.14,13,8,2,2,4.69,3,1.0,0,215.0
52.3643,4.88867,2013,31,1.18,2,7,9,2,5.0,7,1.0,0,197.0
